vehicle_id,manufacturer,vehicle_type,engine_cc,horsepower,fuel_type,transmission,mileage_kmpl,vehicle_age_years,annual_maintenance_cost,resale_price
60,BMW,Hatchback,1642,63,Electric,Manual,26.42,1,2653.91,28339.34
61,Hyundai,Truck,3117,180,Petrol,Manual,28.29,9,4544.96,41589.93
62,Honda,SUV,1195,395,Petrol,Automatic,12.89,4,4717.32,67587.14
63,Honda,Hatchback,3760,136,Electric,Automatic,9.21,12,1068.55,32650.95
64,Toyota,Electric,3311,238,Hybrid,Automatic,10.19,14,4308.69,43967.02
65,Honda,Sedan,1249,192,Petrol,Manual,25.74,7,2564.09,40960.33
66,Mercedes,Hatchback,2154,370,Electric,Automatic,11.66,8,2430.65,63766.03
67,Honda,Hatchback,2786,288,Diesel,Automatic,21.34,8,3989.21,47716.43
68,BMW,Electric,2108,335,Diesel,Automatic,12.12,0,737.76,68424.9
69,BMW,Truck,2097,211,Electric,Automatic,12.59,6,4447.72,49926.35
70,Tesla,SUV,2867,223,Petrol,Manual,8.12,11,3453.06,43743.08
71,BMW,Electric,3086,349,Electric,Automatic,16.66,10,4413.73,56933.28
72,Tesla,SUV,2093,437,Electric,Automatic,10.42,7,4974.04,70125.84
73,BMW,Truck,3265,168,Petrol,Manual,18.64,9,2734.62,39473.36
74,Mercedes,Hatchback,3902,185,Hybrid,Automatic,24.14,2,738.33,55705.57
75,Tesla,SUV,2649,299,Hybrid,Manual,17.92,12,1082.66,49746.06
76,Ford,Sedan,3975,369,Diesel,Manual,27.04,5,1821.01,70630.9
77,Hyundai,Sedan,985,477,Hybrid,Automatic,28.02,10,786.7,76229.71
78,Toyota,Electric,3999,460,Electric,Manual,26.81,2,4132.11,85879.94
79,BMW,Truck,2033,448,Petrol,Automatic,33.29,8,1695.28,73245.79
80,Honda,Electric,2237,404,Diesel,Manual,14.41,12,4886.67,64087.41
81,BMW,Electric,1052,205,Hybrid,Manual,13.12,2,3602.18,48889.06
82,Honda,Electric,818,311,Electric,Automatic,24.46,1,1115.12,60086.15
83,Hyundai,Sedan,3559,242,Diesel,Manual,24.06,8,2537.4,58077.63
84,Hyundai,Sedan,1959,368,Petrol,Automatic,21.77,14,2494.36,63324.99
85,Hyundai,Electric,1022,365,Hybrid,Automatic,8.12,10,2614.8,58807.15
86,Honda,Sedan,802,131,Electric,Automatic,22.99,12,2817.75,27214.32
87,BMW,Truck,2059,278,Petrol,Automatic,33.19,13,446.51,48327.86
88,Hyundai,Electric,1653,266,Electric,Manual,17.03,7,3525.62,48879.71
89,Mercedes,Sedan,2288,232,Electric,Automatic,34.13,7,2589.8,48805.23
90,Tesla,SUV,1027,200,Electric,Manual,17.63,1,4017.54,41854.72
91,Honda,Electric,3760,331,Petrol,Automatic,11.78,5,4132.14,64363.78
92,Honda,Electric,2477,273,Diesel,Manual,18.76,12,1383.52,51750.46
93,BMW,Truck,1298,328,Electric,Manual,21.35,12,527.59,54068.16
94,Honda,Hatchback,3368,79,Diesel,Manual,25.0,4,3605.2,35602.13
95,Honda,Hatchback,3549,125,Diesel,Manual,21.63,13,4895.49,35203.68
96,Hyundai,Truck,2685,362,Hybrid,Automatic,22.49,11,2399.29,66113.47
97,BMW,Truck,3764,206,Hybrid,Automatic,8.65,1,1520.18,53955.16
98,Hyundai,Truck,2815,488,Diesel,Manual,14.85,4,1036.36,79099.39
99,Tesla,Hatchback,1962,224,Hybrid,Manual,16.39,3,1650.99,51947.62
100,Tesla,Truck,2099,437,Hybrid,Automatic,34.65,8,1841.22,73145.77
101,Hyundai,Sedan,3138,369,Diesel,Manual,15.98,11,2292.21,66073.09
102,Tesla,Electric,1876,65,Petrol,Manual,32.21,0,3380.41,29836.34
103,BMW,Electric,3981,73,Hybrid,Automatic,16.23,5,1583.87,31702.28
104,Toyota,SUV,1514,191,Hybrid,Manual,10.59,6,539.59,42856.82
105,Hyundai,SUV,1747,401,Petrol,Manual,14.69,14,2054.41,61345.84
106,Mercedes,Electric,3495,302,Petrol,Automatic,15.37,11,4321.46,55753.47
107,Mercedes,Sedan,3875,498,Petrol,Manual,34.41,5,2642.25,91225.23
108,Honda,Hatchback,3531,290,Diesel,Automatic,26.21,4,4834.48,61763.33
109,Tesla,Hatchback,1669,287,Petrol,Automatic,33.16,11,2667.02,53240.07
110,Mercedes,Sedan,1870,221,Diesel,Automatic,30.54,3,1596.72,52064.66
111,Honda,Hatchback,893,342,Electric,Automatic,23.62,4,1208.58,56849.29
112,Toyota,Truck,3787,322,Electric,Manual,26.24,8,3564.27,60140.2
113,BMW,Electric,1359,190,Petrol,Automatic,24.87,4,2820.99,39430.36
114,BMW,Electric,2575,490,Petrol,Automatic,25.99,9,3138.79,79718.78
115,BMW,Sedan,3060,284,Electric,Manual,15.15,14,3849.1,50954.32
116,Mercedes,Hatchback,1235,317,Diesel,Automatic,19.02,7,3711.75,59495.28
117,Toyota,SUV,1651,293,Diesel,Manual,24.0,6,503.81,56498.25
118,Mercedes,SUV,3355,395,Petrol,Automatic,8.97,3,4072.09,70871.12
119,Tesla,Hatchback,3683,468,Petrol,Automatic,21.04,9,2803.71,77722.82
120,Mercedes,SUV,3498,375,Petrol,Automatic,31.21,4,2141.03,65562.69
121,Toyota,Sedan,1004,83,Electric,Automatic,21.29,6,2826.34,28452.12
122,Toyota,Sedan,3228,330,Hybrid,Manual,22.91,5,3178.52,73156.25
123,Tesla,Hatchback,3944,154,Petrol,Manual,13.45,12,1002.68,39904.45
124,Toyota,SUV,1899,201,Diesel,Manual,29.45,2,2261.85,48620.56
125,Toyota,Sedan,876,241,Hybrid,Automatic,17.69,9,1877.26,43396.05
126,BMW,Sedan,1615,265,Diesel,Automatic,33.83,14,1946.92,45112.55
127,Tesla,Truck,1567,449,Hybrid,Automatic,34.83,2,729.27,76312.3
128,Ford,Truck,3257,140,Electric,Manual,32.73,1,1051.26,47524.57
129,Ford,Sedan,905,333,Hybrid,Automatic,10.29,13,1060.61,48657.75
130,Toyota,Hatchback,3398,335,Diesel,Manual,17.0,2,2054.16,66401.07
131,Ford,Electric,3673,430,Hybrid,Manual,33.52,10,4504.11,69741.56
132,Ford,Electric,2935,267,Electric,Manual,29.72,9,1268.33,52647.42
133,Toyota,Sedan,2546,355,Diesel,Automatic,32.6,12,2256.1,56120.53
134,Ford,Sedan,3728,98,Petrol,Automatic,23.46,0,1764.56,47301.61
135,Mercedes,Sedan,3948,495,Hybrid,Automatic,20.97,12,4000.7,79151.18
136,Honda,Hatchback,3948,347,Diesel,Automatic,10.88,8,535.59,60376.95
137,Tesla,Truck,2265,183,Hybrid,Manual,30.67,1,1223.75,44448.72
138,Honda,Sedan,3387,423,Electric,Manual,28.12,11,1290.02,71426.13
139,Toyota,Sedan,1044,342,Diesel,Automatic,9.59,12,4966.93,55329.06
140,BMW,SUV,3425,425,Petrol,Automatic,13.65,2,2982.64,80536.78
141,Tesla,Hatchback,2205,239,Petrol,Automatic,23.05,4,953.1,49227.98
142,Toyota,Sedan,1781,156,Hybrid,Manual,26.48,9,1579.34,34249.31
143,BMW,SUV,3564,250,Electric,Automatic,11.72,11,1088.76,48726.98
144,Honda,Electric,2536,133,Electric,Manual,14.61,3,885.64,42567.91
145,Toyota,Sedan,941,332,Hybrid,Manual,13.21,12,4046.76,52211.89
146,Tesla,Sedan,1692,108,Diesel,Manual,13.94,4,2630.04,33093.79
147,Tesla,SUV,2191,396,Diesel,Manual,32.86,5,3266.69,67614.62
148,Hyundai,Hatchback,3955,269,Hybrid,Manual,27.33,4,1856.88,58976.18
149,Mercedes,Sedan,3199,175,Diesel,Manual,27.9,9,2902.37,42522.46
150,Ford,Electric,1344,82,Diesel,Manual,29.44,0,1510.57,37894.46
151,BMW,Sedan,3760,157,Diesel,Automatic,17.63,5,1747.77,46179.79
152,Hyundai,Electric,2999,387,Hybrid,Automatic,28.71,8,3365.52,67227.18
153,Ford,Truck,2269,456,Petrol,Automatic,34.42,2,1006.65,78483.4
154,Ford,Truck,3500,466,Electric,Manual,26.86,14,3200.94,78925.68
155,Toyota,Electric,3805,372,Petrol,Manual,19.25,1,4305.5,77629.18
156,Ford,Hatchback,1562,249,Diesel,Automatic,27.34,5,865.99,53002.13
157,Mercedes,Sedan,1423,241,Hybrid,Manual,32.32,11,4518.07,45531.17
158,Tesla,Sedan,1455,207,Electric,Manual,11.48,13,673.39,37355.18
159,Hyundai,Truck,3297,401,Diesel,Manual,15.16,2,1939.87,79804.36
160,Ford,Electric,3568,495,Electric,Manual,32.82,3,3169.39,83000.56
161,Toyota,Sedan,2047,82,Electric,Manual,33.55,5,2929.25,36133.82
162,Mercedes,Sedan,842,164,Petrol,Manual,21.07,11,753.04,34532.42
163,Honda,Hatchback,3111,222,Diesel,Manual,18.11,12,4054.89,46630.7
164,Tesla,SUV,1826,126,Electric,Manual,15.64,11,4873.82,28427.04
165,Tesla,Truck,2460,349,Petrol,Manual,21.47,5,1151.77,67552.88
166,Hyundai,Truck,2091,348,Hybrid,Manual,33.23,11,4507.12,61568.14
167,Tesla,SUV,1395,105,Electric,Manual,12.04,1,2917.0,33771.77
168,Ford,Sedan,3887,140,Diesel,Manual,19.34,12,4698.89,35639.07
169,Toyota,Hatchback,3930,488,Hybrid,Automatic,32.61,12,1127.6,76449.17
170,Tesla,Hatchback,1812,206,Electric,Manual,17.43,2,4022.5,49999.97
171,Tesla,Truck,3024,281,Electric,Manual,28.74,12,580.97,51697.53
172,Honda,Hatchback,2910,402,Diesel,Automatic,18.51,8,4451.02,76137.45
173,Honda,SUV,1757,74,Electric,Automatic,29.73,1,3468.55,28648.73
174,BMW,Sedan,3850,438,Diesel,Automatic,34.49,2,2040.2,79698.14
175,Mercedes,SUV,1360,180,Diesel,Manual,18.47,8,1195.19,38516.08
176,Ford,Electric,2130,137,Diesel,Manual,30.82,3,4137.71,42125.03
177,Tesla,Truck,2112,381,Diesel,Automatic,34.69,14,3135.23,61315.24
178,Tesla,Hatchback,2621,354,Electric,Automatic,34.56,0,1993.95,70596.49
179,Toyota,Electric,3802,300,Hybrid,Automatic,19.71,10,2386.03,59463.18
180,BMW,Hatchback,2350,77,Hybrid,Manual,21.12,12,4184.75,25845.3
181,Mercedes,Sedan,1649,315,Petrol,Manual,16.19,1,1892.96,64995.1
182,BMW,Sedan,2078,475,Diesel,Automatic,16.48,14,721.27,68965.24
183,Hyundai,Sedan,3451,336,Electric,Manual,21.3,2,4583.03,67544.03
184,Mercedes,Hatchback,2333,483,Electric,Manual,13.41,8,2120.52,79827.3
185,Tesla,Electric,2614,86,Petrol,Automatic,27.2,14,1937.42,30279.02
186,Tesla,Sedan,2541,61,Hybrid,Automatic,22.48,8,1260.68,25840.25
187,Mercedes,Electric,1405,412,Electric,Automatic,32.25,10,4517.89,65378.55
188,Tesla,Hatchback,3677,354,Petrol,Manual,29.89,14,1322.28,59775.72
189,Ford,Electric,2286,371,Hybrid,Manual,16.71,5,3292.36,68542.3
190,Mercedes,Hatchback,2094,422,Electric,Manual,21.66,13,4439.6,60298.18
191,BMW,Hatchback,1545,442,Diesel,Manual,28.26,10,464.09,67637.83
192,Mercedes,Truck,1357,298,Petrol,Manual,13.22,5,4195.32,53608.37
193,Tesla,Hatchback,2911,72,Electric,Automatic,8.85,2,2229.82,34545.94
194,Ford,Hatchback,1741,441,Petrol,Manual,31.01,4,3392.48,66926.35
195,Ford,SUV,3096,243,Petrol,Manual,11.71,14,2050.3,51921.34
196,Hyundai,Sedan,2069,253,Petrol,Automatic,32.01,10,3568.93,40084.41
197,BMW,Truck,1739,115,Diesel,Automatic,32.67,3,1495.19,37745.62
198,Honda,Truck,2410,289,Hybrid,Automatic,20.44,9,403.07,49928.24
199,Honda,Truck,3004,87,Hybrid,Automatic,29.78,9,4754.6,27617.86
200,Mercedes,SUV,3582,379,Electric,Manual,17.81,11,376.93,66740.07
201,Hyundai,Hatchback,2525,130,Diesel,Manual,31.17,8,4173.27,38048.74
202,Toyota,Sedan,1784,269,Hybrid,Automatic,30.27,8,1094.95,47205.57
203,Mercedes,Electric,2387,243,Electric,Manual,10.12,0,2143.44,52996.84
204,Hyundai,Hatchback,3959,484,Electric,Automatic,23.73,7,4165.71,79772.3
205,BMW,SUV,2136,434,Petrol,Manual,25.28,14,1267.88,66532.12
206,BMW,Hatchback,2674,415,Diesel,Manual,8.02,8,4368.83,67480.42
207,BMW,Hatchback,3937,100,Hybrid,Manual,34.46,4,2639.47,44077.14
208,BMW,SUV,1461,319,Diesel,Automatic,18.98,3,2020.92,56501.65
209,BMW,Truck,3891,473,Diesel,Automatic,21.97,9,3413.46,81958.4
210,Hyundai,Truck,832,403,Hybrid,Manual,13.26,3,1904.53,72790.02
211,Hyundai,Sedan,2616,143,Hybrid,Manual,24.49,1,1932.26,44314.46
212,Ford,Sedan,3405,105,Diesel,Automatic,29.89,8,3747.57,30243.91
213,Honda,Truck,2920,499,Electric,Automatic,23.82,4,1756.21,86240.21
214,Tesla,Electric,2689,218,Diesel,Manual,29.28,10,1243.63,44488.05
215,BMW,Hatchback,3672,403,Hybrid,Manual,27.74,2,4095.94,77451.07
216,Toyota,Electric,1956,66,Diesel,Automatic,14.42,5,4085.24,34046.13
217,Tesla,Hatchback,3926,392,Hybrid,Manual,19.77,8,2638.65,71772.72
218,Hyundai,Truck,860,497,Electric,Automatic,12.01,8,2775.28,76560.3
219,Toyota,Sedan,2343,195,Diesel,Automatic,9.13,11,3571.56,38542.85
220,Toyota,Sedan,1071,242,Electric,Manual,9.7,12,2693.59,40611.15
221,Toyota,Electric,3093,256,Diesel,Manual,33.45,4,2260.09,59768.57
222,Ford,Sedan,1999,231,Diesel,Manual,34.58,7,4976.0,47825.98
223,Hyundai,Truck,3475,456,Hybrid,Automatic,10.56,3,993.91,83301.38
224,Toyota,Electric,2606,408,Petrol,Automatic,17.05,4,3085.82,76181.34
225,BMW,Hatchback,3552,335,Hybrid,Automatic,11.09,6,4463.56,70346.59
226,Mercedes,Sedan,3509,137,Diesel,Manual,30.52,6,3529.91,38099.52
227,Toyota,SUV,1954,475,Petrol,Manual,21.4,12,4440.34,70587.32
228,Ford,Sedan,1925,237,Petrol,Automatic,24.77,6,1880.77,53189.23
229,Tesla,Hatchback,1109,86,Electric,Automatic,22.58,7,1578.37,33324.49
230,Hyundai,Electric,2115,179,Diesel,Manual,27.18,10,4300.98,38039.13
231,Ford,Hatchback,2545,340,Hybrid,Automatic,16.62,4,2152.34,65649.0
232,Toyota,SUV,3342,367,Petrol,Manual,11.71,14,3635.51,62519.56
233,Hyundai,Truck,1137,255,Petrol,Manual,8.48,0,994.42,54713.86
234,Mercedes,Sedan,3426,336,Hybrid,Automatic,20.03,10,3852.44,62340.77
235,Toyota,Electric,809,77,Hybrid,Automatic,32.51,8,2880.22,28561.57
236,Ford,Truck,848,354,Petrol,Automatic,16.24,8,1562.47,52421.77
237,Honda,Hatchback,2310,330,Hybrid,Automatic,13.29,14,2624.17,51964.25
238,BMW,Electric,3470,112,Electric,Automatic,33.0,6,3575.64,40366.22
239,Tesla,Truck,2144,353,Petrol,Manual,10.85,11,355.87,57403.31
240,Ford,Electric,1530,491,Electric,Automatic,9.4,5,3296.1,79869.41
241,Hyundai,SUV,1594,111,Diesel,Manual,31.74,12,2845.48,30561.72
242,Toyota,SUV,3818,275,Electric,Automatic,26.92,12,1335.34,58454.39
243,BMW,Sedan,2448,131,Hybrid,Automatic,19.4,4,3839.01,40296.34
244,Toyota,Sedan,932,87,Petrol,Automatic,28.31,4,1726.27,34104.51
245,Hyundai,SUV,2930,459,Electric,Automatic,28.02,14,1601.25,71695.59
246,Toyota,Electric,2904,311,Hybrid,Automatic,9.08,2,2514.73,63321.4
247,Honda,SUV,1175,433,Hybrid,Automatic,26.26,9,3477.9,62755.65
248,BMW,Sedan,3196,459,Electric,Manual,25.3,0,4665.58,81658.13
249,BMW,SUV,1070,94,Petrol,Automatic,34.02,5,964.38,30004.15
250,Hyundai,SUV,2306,460,Electric,Automatic,34.1,7,2163.4,75894.95
251,Tesla,Electric,2958,260,Diesel,Automatic,18.2,13,614.85,49062.33
252,Honda,Truck,3716,308,Electric,Automatic,23.93,1,3865.19,72717.48
253,Ford,Sedan,3734,158,Electric,Manual,11.82,7,2404.34,46115.38
254,Toyota,Electric,875,367,Petrol,Manual,9.79,7,3622.57,62778.4
255,Mercedes,SUV,2756,199,Electric,Manual,19.69,9,1814.31,49531.93
256,Toyota,SUV,2466,142,Hybrid,Manual,26.63,7,4268.29,37068.66
257,Toyota,Truck,1128,107,Petrol,Manual,23.33,9,2813.69,26597.27
258,Ford,Sedan,2969,337,Hybrid,Manual,19.6,14,4734.96,60414.37
259,Toyota,Sedan,840,438,Petrol,Automatic,30.09,2,670.43,74737.5
260,Honda,Hatchback,1990,307,Diesel,Automatic,29.45,9,2717.1,54576.96
261,Honda,Sedan,3769,442,Diesel,Manual,27.76,7,3902.34,77865.32
262,BMW,Truck,3489,236,Diesel,Automatic,10.08,10,3120.72,49271.09
263,Hyundai,Hatchback,3894,111,Electric,Automatic,29.5,14,409.01,32099.01
264,Tesla,Hatchback,3126,138,Diesel,Automatic,32.82,11,4869.99,36029.62
265,Mercedes,SUV,3610,444,Petrol,Automatic,9.6,11,1701.84,73317.64
266,Toyota,SUV,3316,381,Diesel,Automatic,18.85,13,1471.61,65634.23
267,Toyota,Sedan,2856,123,Petrol,Manual,34.69,3,2582.6,42867.62
268,Ford,Hatchback,812,67,Hybrid,Manual,24.18,2,2848.14,26981.94
269,Hyundai,SUV,1723,273,Electric,Manual,21.87,10,3901.55,51636.86
270,Honda,Truck,3770,84,Hybrid,Manual,12.79,8,2148.39,30375.88
271,Mercedes,SUV,2642,315,Hybrid,Manual,23.27,7,2367.81,60937.27
272,BMW,SUV,3923,302,Diesel,Manual,19.85,9,2814.31,61570.26
273,Honda,Hatchback,2032,257,Diesel,Automatic,11.44,12,2153.62,45884.81
274,Hyundai,Hatchback,2014,153,Diesel,Manual,20.54,12,4598.38,33774.17
275,Tesla,Electric,3922,266,Hybrid,Automatic,12.44,1,4300.88,62085.59
276,BMW,Truck,1452,494,Electric,Automatic,27.73,12,2438.38,71313.04
277,Tesla,Hatchback,2503,496,Electric,Manual,34.29,12,300.92,76230.52
278,Ford,Sedan,1420,74,Hybrid,Manual,20.68,14,4534.39,18901.1
279,Ford,Truck,2762,237,Electric,Manual,25.07,12,884.38,49344.6
280,Toyota,Truck,2445,437,Hybrid,Automatic,19.64,13,1449.21,61767.37
281,Tesla,Hatchback,3043,134,Hybrid,Manual,11.74,7,1016.1,38505.27
282,Hyundai,Truck,1216,163,Electric,Manual,34.2,10,1145.13,28505.71
283,Mercedes,Hatchback,1463,353,Petrol,Manual,11.5,10,4073.52,54557.45
284,BMW,SUV,2578,227,Petrol,Automatic,11.01,2,3023.66,51443.57
285,Honda,Electric,2179,174,Diesel,Manual,20.4,9,4793.65,43335.76
286,Hyundai,SUV,947,98,Electric,Manual,25.79,11,1387.83,28162.04
287,Hyundai,Hatchback,2845,423,Diesel,Automatic,17.58,13,2582.48,67813.08
288,Ford,Hatchback,3848,332,Hybrid,Automatic,13.2,5,4893.91,67075.59
289,Tesla,SUV,2188,194,Petrol,Automatic,30.11,4,4184.28,49356.46
290,Toyota,Sedan,3211,433,Electric,Manual,17.8,7,3724.49,78687.06
291,Toyota,Sedan,2525,291,Electric,Manual,13.25,8,1188.18,53570.61
292,BMW,Sedan,1201,98,Electric,Automatic,17.86,10,3916.21,28381.29
293,Ford,Hatchback,3453,350,Petrol,Manual,13.79,6,1933.56,64089.65
294,Hyundai,Truck,2315,366,Diesel,Automatic,22.03,5,2793.52,65196.6
295,Mercedes,Hatchback,2831,106,Petrol,Automatic,26.04,5,3163.06,38495.61
296,Ford,Truck,1028,95,Diesel,Automatic,29.59,0,3164.01,32510.9
297,BMW,SUV,2398,379,Hybrid,Automatic,14.14,4,3714.66,68009.03
298,BMW,Electric,3384,154,Hybrid,Automatic,12.51,13,3410.0,31955.79
299,Ford,Truck,1067,420,Diesel,Manual,8.53,7,621.34,68653.46
300,BMW,Sedan,2228,72,Hybrid,Manual,14.16,5,2449.53,28176.32
301,Ford,Hatchback,2616,205,Hybrid,Manual,8.65,11,3420.9,40084.6
302,Honda,SUV,1834,464,Electric,Manual,17.33,0,1691.17,85247.71
303,Ford,Sedan,2143,427,Electric,Automatic,11.93,14,1771.37,63006.99
304,Tesla,SUV,925,124,Petrol,Manual,23.66,14,885.47,27312.46
305,Ford,Electric,3153,287,Petrol,Automatic,18.36,4,2267.49,63596.69
306,BMW,Hatchback,2525,301,Petrol,Automatic,10.53,12,4938.1,55646.9
307,Tesla,Hatchback,1912,67,Electric,Manual,18.8,10,1641.0,24028.53
308,BMW,Electric,3475,363,Petrol,Manual,13.65,11,2797.75,62803.41
309,Toyota,Hatchback,2175,400,Petrol,Automatic,26.36,4,3793.22,68185.05
310,Toyota,Truck,1488,102,Electric,Manual,17.84,11,363.44,21519.48
311,Tesla,SUV,3885,303,Diesel,Manual,11.97,2,4532.07,68531.68
312,Honda,Sedan,2080,240,Electric,Manual,17.44,7,2116.79,50771.58
313,Toyota,Electric,2032,144,Diesel,Manual,14.06,14,4384.85,32206.93
314,Ford,Truck,1080,214,Electric,Automatic,29.49,8,483.05,33205.61
315,BMW,Sedan,1242,334,Petrol,Automatic,34.55,5,984.62,58774.36
316,Toyota,Sedan,2663,82,Hybrid,Manual,8.69,5,1815.89,35217.61
317,Toyota,Electric,1636,174,Hybrid,Automatic,26.63,1,1923.67,48747.66
318,Honda,Truck,1188,365,Diesel,Automatic,15.13,9,4284.63,60160.74
319,Tesla,Sedan,1416,494,Diesel,Manual,9.79,1,352.65,83209.68
320,Tesla,Sedan,946,358,Diesel,Manual,8.39,5,3313.23,59261.47
321,Hyundai,Truck,1320,158,Hybrid,Automatic,31.79,11,917.17,34155.67
322,Honda,Hatchback,1429,163,Diesel,Automatic,17.55,7,4169.11,36836.5
323,Ford,Sedan,3281,431,Electric,Automatic,34.85,1,3959.29,78474.9
324,Tesla,SUV,2991,110,Electric,Manual,19.94,8,2649.63,31500.72
325,BMW,Truck,1088,421,Hybrid,Automatic,13.07,12,1299.63,60146.85
326,Honda,Sedan,2209,171,Electric,Automatic,28.98,11,3282.13,38221.76
327,Toyota,Electric,813,303,Diesel,Manual,33.02,13,1034.41,42935.37
328,BMW,SUV,1056,228,Hybrid,Automatic,30.02,8,1193.11,42445.68
329,BMW,Sedan,2521,131,Diesel,Manual,28.12,14,3245.44,34606.43
330,Toyota,SUV,2223,198,Electric,Manual,17.04,13,4958.77,34426.64
331,Honda,SUV,2030,395,Diesel,Automatic,9.74,3,4487.99,72137.77
